formatted_date,AAPL,FB,MSFT
2019-01-14,38.059326171875,150.0399932861328,104.15491485595703
2019-01-21,38.28745651245117,149.00999450683594,103.63274383544922
2019-01-28,40.41346740722656,165.7100067138672,99.38763427734375
2019-02-04,41.357547760009766,167.3300018310547,102.1822509765625
2019-02-11,41.53736114501953,162.5,104.64808654785156
2019-02-18,42.15888214111328,161.88999938964844,107.30730438232422
2019-02-25,42.64635467529297,162.27999877929688,109.28054809570312
2019-03-04,42.14425277709961,169.60000610351562,107.31888580322266
2019-03-11,45.3640022277832,165.97999572753906,112.5629653930664
2019-03-18,46.56561279296875,164.33999633789062,113.67002868652344
2019-03-25,46.29750061035156,166.69000244140625,114.53433227539062
2019-04-01,48.015838623046875,175.72000122070312,116.42802429199219
2019-04-08,48.471614837646484,179.10000610351562,117.45740509033203
2019-04-15,49.687862396240234,178.27999877929688,119.80753326416016
2019-04-22,49.79510498046875,191.49000549316406,126.13925170898438
2019-04-29,51.61093521118164,195.47000122070312,125.17784881591797
2019-05-06,48.05971145629883,188.33999633789062,123.4589614868164
2019-05-13,46.24335479736328,185.3000030517578,124.37181854248047
2019-05-20,43.789276123046875,181.05999755859375,123.04845428466797
2019-05-27,42.835052490234375,177.47000122070312,120.55319213867188
2019-06-03,46.52473449707031,173.35000610351562,128.07798767089844
2019-06-10,47.15843200683594,181.3300018310547,129.10142517089844
2019-06-17,48.636260986328125,191.13999938964844,133.50717163085938
2019-06-24,48.425846099853516,193.0,130.57330322265625
2019-07-01,49.96973419189453,196.39999389648438,133.5948944091797
2019-07-08,49.74219512939453,204.8699951171875,135.38836669921875
2019-07-15,49.56846237182617,198.36000061035156,133.16600036621094
2019-07-22,50.82855224609375,199.75,137.76669311523438
2019-07-29,49.91836166381836,189.02000427246094,133.43894958496094
2019-08-05,49.1769905090332,187.85000610351562,134.22848510742188
2019-08-12,50.71711349487305,183.6999969482422,132.68841552734375
2019-08-19,49.76908493041992,177.75,130.4506378173828
2019-08-26,51.26726531982422,185.6699981689453,134.8221435546875
2019-09-02,52.37739944458008,187.49000549316406,136.0348663330078
2019-09-09,53.72575378417969,187.19000244140625,134.29403686523438
2019-09-16,53.475242614746094,189.92999267578125,136.36734008789062
2019-09-23,53.74296188354492,177.10000610351562,134.6949920654297
2019-09-30,55.75444030761719,180.4499969482422,135.07638549804688
2019-10-07,58.013999938964844,184.19000244140625,136.60203552246094
2019-10-14,58.06311798095703,185.85000610351562,134.38206481933594
2019-10-21,60.56090545654297,187.88999938964844,137.62890625
2019-10-28,62.83028030395508,193.6199951171875,140.5530242919922
2019-11-04,63.89128112792969,190.83999633789062,142.74363708496094
2019-11-11,65.4675521850586,195.10000610351562,146.66529846191406
2019-11-18,64.48709869384766,198.82000732421875,146.29364013671875
2019-11-25,65.83458709716797,201.63999938964844,148.5479736328125
2019-12-02,66.68692016601562,201.0500030517578,148.91104125976562
2019-12-09,67.78068542480469,194.11000061035156,151.6390380859375
2019-12-16,68.83748626708984,206.3000030517578,154.46514892578125
2019-12-23,71.38957214355469,208.10000610351562,155.98619079589844
2019-12-30,73.2691421508789,208.6699981689453,155.65252685546875
2020-01-06,76.44694519042969,218.05999755859375,158.32167053222656
2020-01-13,78.51620483398438,222.13999938964844,163.97389221191406
2020-01-20,78.4127426147461,217.94000244140625,161.95240783691406
2020-01-27,76.24496459960938,201.91000366210938,167.04531860351562
2020-02-03,78.83645629882812,212.3300018310547,180.4497833251953
2020-02-10,80.23843383789062,214.17999267578125,181.88246154785156
2020-02-17,77.30001831054688,210.17999267578125,175.24891662597656
2020-02-24,67.49954223632812,192.47000122070312,159.413330078125
2020-03-02,71.3688735961914,181.08999633789062,158.98040771484375
2020-03-09,68.63787078857422,170.27999877929688,156.28428649902344
2020-03-16,56.60519790649414,149.72999572753906,135.1486053466797
2020-03-23,61.17332458496094,156.7899932861328,147.30064392089844
2020-03-30,59.61028289794922,154.17999267578125,151.3644561767578
2020-04-06,66.1735610961914,175.19000244140625,162.4931640625
2020-04-13,69.83052825927734,179.24000549316406,175.73745727539062
2020-04-20,69.87250518798828,190.07000732421875,171.7523651123047
2020-04-27,71.37875366210938,202.27000427246094,171.7720489501953
2020-05-04,76.5790023803711,212.35000610351562,181.71998596191406
2020-05-11,76.18711853027344,210.8800048828125,180.22434997558594
2020-05-18,78.95521545410156,234.91000366210938,180.56874084472656
2020-05-25,78.72000885009766,225.08999633789062,180.81507873535156
2020-06-01,82.07737731933594,230.77000427246094,184.71261596679688
2020-06-08,83.88481903076172,228.5800018310547,185.24545288085938
2020-06-15,86.58853912353516,238.7899932861328,192.55699157714844
2020-06-22,87.556640625,216.0800018310547,193.72129821777344
2020-06-29,90.15140533447266,233.4199981689453,203.5193634033203
2020-07-06,94.99683380126953,245.07000732421875,210.8308868408203
2020-07-13,95.40040588378906,242.02999877929688,200.1842803955078
2020-07-20,91.72362518310547,230.7100067138672,198.62525939941406
2020-07-27,105.23731231689453,253.6699981689453,202.2859649658203
2020-08-03,110.0431137084961,268.44000244140625,209.65670776367188
2020-08-10,114.00676727294922,261.239990234375,206.124267578125
2020-08-17,123.39510345458984,267.010009765625,210.1895294189453
2020-08-24,123.82916259765625,293.6600036621094,226.4143829345703
2020-08-31,120.01182556152344,282.7300109863281,211.91419982910156
2020-09-07,111.12206268310547,266.6099853515625,201.80563354492188
2020-09-14,106.00250244140625,252.52999877929688,198.205322265625
2020-09-21,111.39986419677734,254.82000732421875,205.5543212890625
2020-09-28,112.13407135009766,259.94000244140625,203.94207763671875
